index,group,baseline_correct,intervention_correct,cosine_before_after,l2_shift,proj_before,proj_after,proj_shift
1,stable_true,True,True,0.9885210394859314,1.0000056028366089,0.39658820629119873,-0.6034165620803833,-1.000004768371582
2,stable_true,True,True,0.9898863434791565,0.9999300837516785,2.8570539951324463,1.8571245670318604,-0.9999294281005859
3,stable_true,True,True,0.9885534048080444,0.9999801516532898,0.6301639080047607,-0.3698153495788574,-0.9999792575836182
4,recovered,False,True,0.9907343983650208,0.999946117401123,1.8519072532653809,0.8519622683525085,-0.9999449849128723
5,stable_true,True,True,0.9868825674057007,0.9999517798423767,0.5499335527420044,-0.45001763105392456,-0.999951183795929
6,stable_true,True,True,0.9920352697372437,0.9999457597732544,3.4544825553894043,2.454537868499756,-0.9999446868896484
7,stable_true,True,True,0.9910210371017456,1.0000027418136597,0.9979021549224854,-0.0020995251834392548,-1.0000016801059246
8,stable_false,False,False,0.987805962562561,0.9999803900718689,0.17287945747375488,-0.8271002769470215,-0.9999797344207764
9,stable_false,False,False,0.9874349236488342,0.9999596476554871,1.5802526473999023,0.5802935361862183,-0.9999591112136841
10,stable_false,False,False,0.9868624806404114,0.999927818775177,1.268441915512085,0.2685147225856781,-0.9999271929264069
11,stable_false,False,False,0.9902558922767639,0.999973475933075,1.8503433465957642,0.8503707647323608,-0.9999725818634033
12,recovered,False,True,0.9894949793815613,0.999977707862854,1.589908242225647,0.5899312496185303,-0.9999769926071167
13,stable_true,True,True,0.9886898398399353,1.000042200088501,-0.05407603830099106,-1.0541175603866577,-1.0000415220856667
14,stable_true,True,True,0.9896873235702515,0.9999166131019592,2.2761266231536865,1.2762107849121094,-0.9999158382415771
15,stable_true,True,True,0.9889847040176392,0.9999555945396423,1.3460044860839844,0.3460496664047241,-0.9999548196792603
16,stable_true,True,True,0.9896618723869324,0.9999825954437256,0.13897894322872162,-0.8610026240348816,-0.9999815672636032
17,stable_true,True,True,0.9881008267402649,0.9999832510948181,-0.07072032988071442,-1.0707027912139893,-0.9999824613332748
18,stable_true,True,True,0.9892604351043701,0.99992835521698,1.985558271408081,0.9856306314468384,-0.9999276399612427
19,stable_true,True,True,0.9892528653144836,1.0000009536743164,0.502612292766571,-0.49738791584968567,-1.0000002086162567
20,stable_false,False,False,0.9889079928398132,0.9999299645423889,0.3072066009044647,-0.6927223801612854,-0.9999289810657501
21,stable_false,False,False,0.9874324798583984,1.0000278949737549,-0.2067931443452835,-1.2068204879760742,-1.0000273436307907
22,stable_true,True,True,0.9900990128517151,1.0000195503234863,0.40821200609207153,-0.5918065905570984,-1.00001859664917
23,stable_false,False,False,0.9902186393737793,1.0000247955322266,-0.09745123982429504,-1.0974750518798828,-1.0000238120555878
24,stable_true,True,True,0.988294243812561,0.9999907612800598,0.34120750427246094,-0.6587826013565063,-0.9999901056289673
25,stable_false,False,False,0.9900028109550476,0.9999281764030457,2.1362838745117188,1.1363564729690552,-0.9999274015426636
26,stable_false,False,False,0.9895740747451782,1.000023365020752,1.3840563297271729,0.38403379917144775,-1.000022530555725
27,stable_false,False,False,0.9866206049919128,1.00002121925354,-0.2864699363708496,-1.2864904403686523,-1.0000205039978027
28,stable_true,True,True,0.9892568588256836,0.9999749660491943,1.211151123046875,0.21117694675922394,-0.9999741762876511
29,stable_true,True,True,0.9889808893203735,1.0000005960464478,0.11589835584163666,-0.884101390838623,-0.9999997466802597
30,stable_true,True,True,0.9856326580047607,1.000004529953003,0.8391001224517822,-0.1609037220478058,-1.000003844499588
31,stable_true,True,True,0.9894925355911255,0.9999507069587708,0.40878549218177795,-0.5911643505096436,-0.9999498426914215
32,stable_true,True,True,0.9875053763389587,0.9999697804450989,1.321800947189331,0.3218318223953247,-0.9999691247940063
33,stable_true,True,True,0.9890684485435486,0.9999441504478455,2.4497265815734863,1.4497830867767334,-0.9999434947967529
34,stable_true,True,True,0.9897357821464539,0.9999343752861023,1.233465313911438,0.23353183269500732,-0.9999334812164307
35,stable_true,True,True,0.9880490303039551,0.9999345541000366,-0.07212655246257782,-1.0720603466033936,-0.9999337941408157
36,stable_true,True,True,0.9894468784332275,0.9999678730964661,0.8337433338165283,-0.1662236601114273,-0.9999669939279556
37,regressed,True,False,0.9894282817840576,1.000030517578125,0.6863715648651123,-0.3136581778526306,-1.000029742717743
38,stable_true,True,True,0.9895462393760681,0.9999504685401917,1.864671230316162,0.8647215962409973,-0.9999496340751648
39,stable_true,True,True,0.9869362115859985,0.9999579787254333,0.3735038936138153,-0.6264535188674927,-0.999957412481308
40,stable_true,True,True,0.9896413683891296,1.0000331401824951,-0.6611418128013611,-1.6611740589141846,-1.0000322461128235
41,recovered,False,True,0.988694429397583,1.0000598430633545,-0.20584267377853394,-1.2059016227722168,-1.0000589489936829
42,recovered,False,True,0.9883445501327515,0.9999663829803467,0.06855090707540512,-0.9314148426055908,-0.9999657496809959
43,stable_true,True,True,0.9867861270904541,0.9999626874923706,0.4097246825695038,-0.5902372598648071,-0.9999619424343109
44,stable_true,True,True,0.9890396595001221,0.9999999403953552,1.1669983863830566,0.16699926555156708,-0.9999991208314896
45,stable_false,False,False,0.9896828532218933,1.0000147819519043,-0.6171185970306396,-1.6171324253082275,-1.000013828277588
46,recovered,False,True,0.9869681000709534,1.000022530555725,-0.19881711900234222,-1.1988389492034912,-1.000021830201149
47,stable_false,False,False,0.9871495366096497,0.9999760985374451,-0.2659747004508972,-1.2659502029418945,-0.9999755024909973
48,stable_false,False,False,0.987858235836029,0.9999714493751526,-0.20223042368888855,-1.2022008895874023,-0.9999704658985138
49,regressed,True,False,0.9887763261795044,0.9999909996986389,0.31248676776885986,-0.6875035166740417,-0.9999902844429016
50,stable_true,True,True,0.9894182085990906,0.9999418258666992,2.649540901184082,1.6495997905731201,-0.9999411106109619
51,stable_true,True,True,0.9904787540435791,0.9999393820762634,-0.1253787875175476,-1.1253173351287842,-0.9999385476112366
52,stable_true,True,True,0.9863936901092529,0.9999549984931946,-0.0843462347984314,-1.0843006372451782,-0.9999544024467468
53,stable_true,True,True,0.9881702065467834,0.9999921321868896,-0.11255926638841629,-1.1125504970550537,-0.9999912306666374
54,recovered,False,True,0.9901440143585205,1.0000444650650024,0.09530774503946304,-0.904735803604126,-1.000043548643589
55,stable_true,True,True,0.9887035489082336,0.999995231628418,0.10426853597164154,-0.8957257270812988,-0.9999942630529404
56,recovered,False,True,0.9912323355674744,0.9999790787696838,-0.8302363157272339,-1.830214500427246,-0.9999781847000122
57,stable_false,False,False,0.9893937110900879,0.9999872446060181,1.0348188877105713,0.03483239561319351,-0.9999864920973778
58,stable_true,True,True,0.9865574240684509,1.0000011920928955,0.09249096363782883,-0.9075095653533936,-1.0000005289912224
59,stable_true,True,True,0.9898518323898315,0.9999305605888367,2.6481704711914062,1.6482404470443726,-0.9999300241470337
60,stable_false,False,False,0.9886104464530945,0.9999773502349854,1.404129981994629,0.4041534662246704,-0.9999765157699585
61,stable_true,True,True,0.9892710447311401,1.0000325441360474,-0.017552919685840607,-1.0175844430923462,-1.0000315234065056
62,stable_true,True,True,0.9906455278396606,0.999924898147583,3.1140456199645996,2.114121437072754,-0.9999241828918457
63,stable_false,False,False,0.9907822012901306,0.9999777674674988,1.9043233394622803,0.9043465256690979,-0.9999768137931824
64,stable_false,False,False,0.9883291721343994,1.0000271797180176,-0.8752508163452148,-1.8752772808074951,-1.0000264644622803
65,stable_true,True,True,0.989050030708313,1.0000320672988892,0.18539324402809143,-0.8146380186080933,-1.0000312626361847
66,stable_false,False,False,0.989467978477478,0.9999662637710571,-0.32563015818595886,-1.3255953788757324,-0.9999652206897736
67,stable_true,True,True,0.9893694519996643,0.9998814463615417,2.274933099746704,1.275052547454834,-0.9998805522918701
68,stable_true,True,True,0.9907296299934387,0.9999690055847168,2.4552197456359863,1.4552515745162964,-0.9999681711196899
69,stable_true,True,True,0.9890008568763733,1.0000193119049072,1.491153597831726,0.4911350607872009,-1.0000185370445251
70,recovered,False,True,0.9883858561515808,0.9999853372573853,0.8726985454559326,-0.12728607654571533,-0.999984622001648
71,stable_true,True,True,0.987251341342926,1.0000139474868774,-0.1385963410139084,-1.1386096477508545,-1.000013306736946
72,stable_true,True,True,0.9903119802474976,1.0000693798065186,0.8314332962036133,-0.16863515973091125,-1.0000684559345245
73,recovered,False,True,0.9908696413040161,0.9999470114707947,0.7889547348022461,-0.21099130809307098,-0.9999460428953171
74,stable_true,True,True,0.9890004992485046,0.9999580979347229,1.2329238653182983,0.23296642303466797,-0.9999574422836304
75,recovered,False,True,0.9831077456474304,0.9999511241912842,0.8519505262374878,-0.14800000190734863,-0.9999505281448364
76,stable_true,True,True,0.9919198751449585,0.999926745891571,3.6979527473449707,2.698026657104492,-0.9999260902404785
77,stable_false,False,False,0.9888018369674683,1.0000044107437134,0.24791216850280762,-0.7520914673805237,-1.0000036358833313
78,stable_false,False,False,0.9893117547035217,1.000062346458435,-0.4459024965763092,-1.4459640979766846,-1.0000616014003754
79,stable_false,False,False,0.98879474401474,0.999977171421051,0.3576478958129883,-0.6423284411430359,-0.9999763369560242
80,stable_true,True,True,0.9892345666885376,0.9999270439147949,2.5917773246765137,1.591850996017456,-0.9999263286590576
81,recovered,False,True,0.9916355013847351,1.000148057937622,-0.04314218461513519,-1.043289303779602,-1.0001471191644669
82,stable_true,True,True,0.9878455400466919,1.0000184774398804,0.6558202505111694,-0.3441973924636841,-1.0000176429748535
83,recovered,False,True,0.9901861548423767,1.0000410079956055,-0.9611642360687256,-1.9612042903900146,-1.000040054321289
84,recovered,False,True,0.9882479310035706,0.9999445676803589,-0.1573178768157959,-1.1572617292404175,-0.9999438524246216
85,regressed,True,False,0.9880576729774475,0.9999696612358093,1.0562682151794434,0.05629946291446686,-0.9999687522649765
86,stable_false,False,False,0.9881811738014221,0.9999449253082275,1.6777441501617432,0.6777998805046082,-0.999944269657135
87,stable_true,True,True,0.9871978759765625,0.9999845027923584,0.541600227355957,-0.45838361978530884,-0.9999838471412659
88,stable_false,False,False,0.9885924458503723,0.9999953508377075,0.7225155234336853,-0.27747902274131775,-0.999994546175003
89,stable_true,True,True,0.9896535277366638,0.9999669194221497,1.5974278450012207,0.5974616408348083,-0.9999662041664124
90,stable_true,True,True,0.9885360598564148,1.0000025033950806,0.8032546043395996,-0.19674716889858246,-1.000001773238182
91,stable_true,True,True,0.9869608283042908,0.9999163746833801,0.3148110806941986,-0.6851046085357666,-0.9999156892299652
92,stable_true,True,True,0.9896124601364136,0.9999919533729553,2.4647014141082764,1.4647103548049927,-0.9999910593032837
93,regressed,True,False,0.9910067319869995,0.9999663829803467,0.5084820985794067,-0.49148333072662354,-0.9999654293060303
94,stable_true,True,True,0.9897383451461792,0.999967098236084,2.4260640144348145,1.4260977506637573,-0.9999662637710571
95,stable_false,False,False,0.9896387457847595,1.0000063180923462,-0.5889086723327637,-1.588914155960083,-1.0000054836273193
96,stable_true,True,True,0.9871211051940918,0.9999851584434509,1.367828369140625,0.367843896150589,-0.999984472990036
97,stable_true,True,True,0.9896448254585266,1.0000032186508179,0.011171184480190277,-0.988831102848053,-1.0000022873282433
98,stable_true,True,True,0.9893245100975037,0.999984622001648,2.7414002418518066,1.7414164543151855,-0.9999837875366211
99,stable_true,True,True,0.9907431602478027,0.999920666217804,2.4265379905700684,1.4266184568405151,-0.9999195337295532
100,recovered,False,True,0.9865441918373108,1.0000147819519043,0.1284252256155014,-0.871588945388794,-1.0000141710042953
101,regressed,True,False,0.988421618938446,0.9999070763587952,-0.03123595006763935,-1.031142234802246,-0.9999062847346067
102,stable_false,False,False,0.9883259534835815,0.9999877214431763,0.6854297518730164,-0.3145570456981659,-0.9999867975711823
103,stable_true,True,True,0.9893529415130615,1.000028133392334,2.774653434753418,1.7746257781982422,-1.0000276565551758
104,stable_true,True,True,0.9902219772338867,0.9999533295631409,2.85042405128479,1.8504716157913208,-0.9999524354934692
105,stable_true,True,True,0.9879958033561707,0.9999579191207886,0.7572692036628723,-0.24268803000450134,-0.9999572336673737
106,stable_true,True,True,0.9884569048881531,1.0000454187393188,1.0112860202789307,0.01124129444360733,-1.0000447258353233
107,stable_false,False,False,0.9880871176719666,0.999982476234436,0.04603387415409088,-0.953947901725769,-0.9999817758798599
